Фраза = Перевод | Частота | Важность DGT | Самостоятельная ценность | Маркерная ценность | Частотность слов ÷ 6 | Общий рейтинг
Arranque el motor = заведите мотор | 1 | 2 | 1 | 2 | 1.67 | 7.67
Las lámparas del automóvil deben sustituirse = Лампочки автотранспорта должны меняться | 1 | 3 | 2 | 0 | 1.67 | 7.67
carril adicional de circulación = дополнительная полоса движения | 1 | 0 | 2 | 0 | 4.67 | 7.67
carril de circulación = полоса движения | 1 | 0 | 2 | 0 | 4.67 | 7.67
semáforo de carril = светофор над полосой движения | 1 | 0 | 2 | 0 | 4.67 | 7.67
un carril para circulación lenta = полоса для медленного движения | 1 | 0 | 2 | 0 | 4.67 | 7.67
Aparcar en batería = парковка перпендикулярно | 1 | 2 | 2 | 2 | 0.5 | 7.5
caducado la vigencia = просрочился срок действия | 1 | 2 | 2 | 2 | 0.5 | 7.5
obtener el permiso de la clase B = получить права категории B | 1 | 2 | 2 | 2 | 0.5 | 7.5
sufrir lesiones = получить травмы | 1 | 2 | 1 | 2 | 1.5 | 7.5
debe asistir a un curso = необходимо посещать курсы | 1 | 3 | 2 | 0 | 1.5 | 7.5
aparecer la fatiga = появляться усталости / наступать усталость | 1 | 0 | 2 | 0 | 4.5 | 7.5
ser obligatorio = быть обязательным | 1 | 0 | 1 | 0 | 5.5 | 7.5
Antiniebla delantero = передние противотуманки | 1 | 2 | 1 | 3 | 0.33 | 7.33
dos señales = два знака | 1 | 2 | 1 | 3 | 0.33 | 7.33
entre señales = между знаками | 1 | 2 | 1 | 3 | 0.33 | 7.33
Permiso B + más de 3 años = puede conducir motocicletas de la categoría A1 | 1 | 2 | 2 | 2 | 0.33 | 7.33
niebla espesa = густой туман | 1 | 2 | 1 | 2 | 1.33 | 7.33
qué permiso se necesita? = Какое разрешение необходимо? | 1 | 2 | 1 | 2 | 1.33 | 7.33
está obligado a obedecer = обязан подчиняться / обязан соблюдать | 1 | 3 | 2 | 0 | 1.33 | 7.33
aparición de la fatiga = появление усталости | 1 | 0 | 2 | 0 | 4.33 | 7.33
conducir con sueño = управлять автомобилем в сонном состоянии | 1 | 0 | 2 | 0 | 4.33 | 7.33
evitar cambios de marcha innecesarios = избегать ненужных переключений передач | 1 | 0 | 2 | 0 | 4.33 | 7.33
utilizar marchas altas, incluso en ciudad = использовать высокие передачи, даже в городе | 1 | 0 | 2 | 0 | 4.33 | 7.33
es obligatorio = обязательно | 1 | 0 | 1 | 0 | 5.33 | 7.33
requisito obligatorio = обязательное требование | 1 | 0 | 1 | 0 | 5.33 | 7.33
sino que es obligatorio = но это обязательно. | 1 | 0 | 1 | 0 | 5.33 | 7.33
bornes de la batería = клеммы аккумулятора | 1 | 2 | 2 | 2 | 0.17 | 7.17
prestar a los heridos = оказывать помощь раненым | 1 | 2 | 2 | 2 | 0.17 | 7.17
frenado brusco = резкое торможение | 1 | 2 | 1 | 2 | 1.17 | 7.17
Luz corta = ближний свет | 1 | 2 | 1 | 2 | 1.17 | 7.17
Luz larga = дальний свет | 1 | 2 | 1 | 2 | 1.17 | 7.17
Cambiar de dirección a la derecha = повернуть направо | 1 | 0 | 2 | 0 | 4.17 | 7.17
parar en un lugar permitido = остановиться в разрешённом месте | 1 | 0 | 2 | 0 | 4.17 | 7.17
porque existe más probabilidad de caídas = потому что существует больше вероятности падений | 1 | 0 | 2 | 0 | 4.17 | 7.17
lugar seguro = безопасное место | 1 | 2 | 1 | 2 | 1 | 7
peatones ocultos = скрытые пешеходы | 1 | 2 | 1 | 2 | 1 | 7
tienen preferencia = имеют преимущество | 1 | 2 | 1 | 2 | 1 | 7
¿cómo debe actuar? = как необходимо действовать? | 1 | 3 | 1 | 0 | 2 | 7
¿debe respetar...? = должен ли соблюдать...? | 1 | 3 | 1 | 0 | 2 | 7
Puede evitar = Вы можете избежать | 1 | 1 | 1 | 0 | 4 | 7
Para evitar = Чтобы избежать | 3 | 0 | 1 | 0 | 3 | 7
frenar bruscamente = резко тормозить | 1 | 2 | 1 | 2 | 0.83 | 6.83
salvo circunstancias especiales = за исключением особых обстоятельств | 1 | 2 | 1 | 2 | 0.83 | 6.83
Cambiar de dirección a la izquierda = повернуть налево | 1 | 0 | 2 | 0 | 3.83 | 6.83
luz amarilla intermitente = мигающий жёлтый огонь | 1 | 0 | 2 | 0 | 3.83 | 6.83
lluvia intensa = сильный дождь | 1 | 2 | 1 | 2 | 0.67 | 6.67
Seguro del coche = страховка | 1 | 2 | 1 | 2 | 0.67 | 6.67
Debe abstenerse = Должны воздержаться | 1 | 3 | 1 | 0 | 1.67 | 6.67
excepto cuando = за исключением случаев, когда | 1 | 3 | 1 | 0 | 1.67 | 6.67
¿cuándo está obligado = Когда он обязан | 1 | 3 | 1 | 0 | 1.67 | 6.67
capacidad de anticipación = способность предвидеть | 2 | 0 | 2 | 0 | 2.67 | 6.67
antigüedad del permiso = возраст разрешения | 1 | 2 | 1 | 2 | 0.5 | 6.5
lesiones físicas y emocionales = физические и эмоциональные травмы | 1 | 2 | 1 | 2 | 0.5 | 6.5
¿cuál prevalece? = какой преобладает / имеет приоритет? | 1 | 2 | 1 | 2 | 0.5 | 6.5
❌siempre que = при условии, что | 1 | 3 | 1 | 0 | 1.5 | 6.5
afectar a la conducción = влиять на вождение | 1 | 0 | 2 | 0 | 3.5 | 6.5
llevar encendido = иметь включённым | 1 | 0 | 1 | 0 | 4.5 | 6.5
prohibido parar = остановка запрещена | 1 | 0 | 1 | 0 | 4.5 | 6.5
respecto a = относительно, что касается | 2 | 3 | 1 | 0 | 0.33 | 6.33
capacidad de reacción = способность реагировать | 1 | 0 | 2 | 0 | 3.33 | 6.33
distancia de reacción = путь реакции | 1 | 0 | 2 | 0 | 3.33 | 6.33
provocar somnolencia = вызывать сонливость | 1 | 0 | 1 | 0 | 4.33 | 6.33
que produce fatiga = что вызывает усталость | 1 | 0 | 1 | 0 | 4.33 | 6.33
La batería = аккумулятор | 1 | 2 | 1 | 2 | 0.17 | 6.17
en función de = в зависимости от | 1 | 3 | 2 | 0 | 0.17 | 6.17
luz de corto alcance = ближний свет | 1 | 0 | 2 | 0 | 3.17 | 6.17
para evitar la rotura del parabrisas = чтобы предотвратить поломку лобового стекла | 1 | 0 | 2 | 0 | 3.17 | 6.17
heridos leves = незначительные травмы | 1 | 2 | 1 | 2 | 0 | 6
la prioritaria = приоритетный (знак) | 1 | 2 | 1 | 2 | 0 | 6
los heridos = раненые | 1 | 2 | 1 | 2 | 0 | 6
Más rápido = быстрее | 1 | 2 | 1 | 2 | 0 | 6
prevalece sobre = преобладает над | 1 | 2 | 1 | 2 | 0 | 6
a la vista de = при виде, увидев | 1 | 3 | 2 | 0 | 0 | 6
está obligado = обязан | 1 | 3 | 1 | 0 | 1 | 6
iniciar una maniobra = начать манёвр | 1 | 0 | 2 | 0 | 3 | 6
disminuir el movimiento = уменьшать движение | 1 | 0 | 1 | 0 | 4 | 6
prohibir el paso = запрещать проезд | 1 | 0 | 1 | 0 | 4 | 6
la mayor causa = главная / наиболее частая причина | 1 | 0 | 2 | 0 | 2.83 | 5.83
nformar sobre el sentido de la circulación = информировать о направлении движения | 1 | 0 | 2 | 0 | 2.83 | 5.83
para cada sentido de circulación = для каждого направления движения | 1 | 0 | 2 | 0 | 2.83 | 5.83
RCTA → tráfico trasero transversal = → поперечный трафик сзади → предупреждение при выезде задним ходом. | 1 | 0 | 2 | 0 | 2.83 | 5.83
salvo causa justificada = за исключением случаев наличия уважительной причины | 1 | 0 | 2 | 0 | 2.83 | 5.83
su sentido de circulación = своё направление движения | 1 | 0 | 2 | 0 | 2.83 | 5.83
carril reservado al sentido contrario = полоса, предназначенная для встречного движения | 1 | 0 | 1 | 0 | 3.83 | 5.83
puede llegar a = может в итоге, всё же может | 1 | 1 | 2 | 0 | 1.67 | 5.67
puede suponer una infracción? = может представлять собой нарушение? | 1 | 1 | 2 | 0 | 1.67 | 5.67
¿puede suponer una infracción? = может ли подразумевать нарушение? | 1 | 1 | 2 | 0 | 1.67 | 5.67
corregir la dirección = корректировать направление | 1 | 0 | 2 | 0 | 2.67 | 5.67
el indicador de dirección = указатель поворота | 1 | 0 | 2 | 0 | 2.67 | 5.67
iniciar la marcha = начать движение | 1 | 0 | 2 | 0 | 2.67 | 5.67
mantener una distancia = соблюдать дистанцию | 1 | 0 | 2 | 0 | 2.67 | 5.67
más de un carril = более одной полосы | 1 | 0 | 2 | 0 | 2.67 | 5.67
Ponga el intermitente = включите поворотник | 1 | 0 | 2 | 0 | 2.67 | 5.67
presencia de una curva = наличие поворота | 1 | 0 | 2 | 0 | 2.67 | 5.67
reducir rápidamente la marcha = быстро снизить скорость | 1 | 0 | 2 | 0 | 2.67 | 5.67
regresar a su carril = вернуться на свою полосу | 1 | 0 | 2 | 0 | 2.67 | 5.67
Vamos en dirección Málaga = едем в направлении Малага | 1 | 0 | 2 | 0 | 2.67 | 5.67
carril contiguo = соседняя полоса | 2 | 0 | 1 | 0 | 2.67 | 5.67
avisar a los demás usuarios = предупредить других участников движения | 1 | 0 | 2 | 0 | 2.5 | 5.5
concentración en la conducción = концентрация при вождении | 1 | 0 | 2 | 0 | 2.5 | 5.5
En el semáforo a la derecha = на светофоре направо | 1 | 0 | 2 | 0 | 2.5 | 5.5
existir posibilidad de deslumbrar = существовать риск ослепления | 1 | 0 | 2 | 0 | 2.5 | 5.5
luz de largo alcance = дальний свет | 1 | 0 | 2 | 0 | 2.5 | 5.5
invadir el carril contrario = заехать на встречную полосу | 1 | 0 | 1 | 0 | 3.5 | 5.5
¿Qué tiene que hacer = Что вам необходимо сделать | 1 | 1 | 1 | 0 | 2.33 | 5.33
Continuar la marcha = продолжить движение | 2 | 0 | 2 | 0 | 1.33 | 5.33
Rueda de repuesto = запаска | 2 | 0 | 2 | 0 | 1.33 | 5.33
auxiliar a un herido = помощь раненому | 1 | 0 | 2 | 0 | 2.33 | 5.33
cambiar de marcha = переключить передачи | 1 | 0 | 2 | 0 | 2.33 | 5.33
detenido por avería = остановившийся из-за поломки | 1 | 0 | 2 | 0 | 2.33 | 5.33
entrar en una curva = входить в поворот | 1 | 0 | 2 | 0 | 2.33 | 5.33
sufrir trastornos de sueño = страдать от нарушений сна | 1 | 0 | 2 | 0 | 2.33 | 5.33
conducir un rebaño = вести стадо | 1 | 0 | 1 | 0 | 3.33 | 5.33
llevar puesto un chaleco reflectante = → быть в надетом жилете | 1 | 0 | 1 | 0 | 3.33 | 5.33
tener encendido = иметь включённым | 1 | 0 | 1 | 0 | 3.33 | 5.33
según el distintivo ambiental = в зависимости от экологического обозначения | 1 | 3 | 1 | 0 | 0.17 | 5.17
puede ser debido a = может быть вызвана / может быть связана с | 1 | 1 | 2 | 0 | 1.17 | 5.17
¿Qué может hacer = Что можно сделать | 1 | 1 | 1 | 0 | 2.17 | 5.17
congestión de tráfico = транспортный затор | 1 | 0 | 2 | 0 | 2.17 | 5.17
En el semáforo a la izquierda = на светофоре налево | 1 | 0 | 2 | 0 | 2.17 | 5.17
La distancia que recorre = Расстояние, которое он преодолевает | 1 | 0 | 2 | 0 | 2.17 | 5.17
no podrán superar la tasa de = не смогут превышать уровень в | 1 | 0 | 2 | 0 | 2.17 | 5.17
sentido de la marcha = направление движения | 1 | 0 | 2 | 0 | 2.17 | 5.17
Conducción eficiente = экономичное (экологичное) вождение | 1 | 0 | 1 | 0 | 3.17 | 5.17
llevar herramientas = → возить инструменты | 1 | 0 | 1 | 0 | 3.17 | 5.17
llevar un chaleco reflectante = иметь жилет при себе / возить с собой | 1 | 0 | 1 | 0 | 3.17 | 5.17
permitido realizar competiciones = разрешено проводить соревнования | 1 | 0 | 1 | 0 | 3.17 | 5.17
lo más cerca posible = как можно ближе | 2 | 0 | 2 | 0 | 1 | 5
ambos sentidos de circulación = оба направления движения | 1 | 0 | 2 | 0 | 2 | 5
antes de la curva = до поворота | 1 | 0 | 2 | 0 | 2 | 5
cambio de marcha = переключение передачи | 1 | 0 | 2 | 0 | 2 | 5
capacidad de anticipation = способность предвидеть | 1 | 0 | 2 | 0 | 2 | 5
circulación en dos sentidos = движение в двух направлениях | 1 | 0 | 2 | 0 | 2 | 5
Cuando debido a una avería = Когда из-за поломки | 1 | 0 | 2 | 0 | 2 | 5
cuando no exista peligro = когда отсутствует опасность | 1 | 0 | 2 | 0 | 2 | 5
de corto alcance = ближнего действия, ближний свет | 1 | 0 | 2 | 0 | 2 | 5
distancia que falta = расстояние до чего-то | 1 | 0 | 2 | 0 | 2 | 5
entorpezca indebidamente la circulación = чрезмерно препятствовать движению транспорта | 1 | 0 | 2 | 0 | 2 | 5
entorpezca la circulación = препятствовать движению | 1 | 0 | 2 | 0 | 2 | 5
hacia los que el Agente dirija su luz = на кого направлен световой сигнал | 1 | 0 | 2 | 0 | 2 | 5
peligro de alcance = опасность наезда сзади | 1 | 0 | 2 | 0 | 2 | 5
reanudar la marcha = возобновить движение | 1 | 0 | 2 | 0 | 2 | 5
regular la circulación = регулировать движение | 1 | 0 | 2 | 0 | 2 | 5
Si debido a una avería = Если из-за поломки | 1 | 0 | 2 | 0 | 2 | 5
sin emplear las manos = не используя рук | 1 | 0 | 2 | 0 | 2 | 5
unidad de tráfico = отделение дорожно-транспортного травматизма (в больнице) | 1 | 0 | 2 | 0 | 2 | 5
¿en qué caso? = в каком случае? | 1 | 0 | 2 | 0 | 2 | 5
evitar atascos = избегать пробок | 1 | 0 | 1 | 0 | 3 | 5
Evitar los movements bruscos = Избегайте резких движений | 1 | 0 | 1 | 0 | 3 | 5
evitar los peligros = избегать опасностей | 1 | 0 | 1 | 0 | 3 | 5
impide conducir = запрещает водить | 1 | 0 | 1 | 0 | 3 | 5
llevar un extintor = → возить огнетушитель | 1 | 0 | 1 | 0 | 3 | 5
carga que sobresale = выступающий груз | 1 | 0 | 2 | 0 | 1.83 | 4.83
durante la conducción = во время управления автомобилем | 1 | 0 | 2 | 0 | 1.83 | 4.83
en todo tipo de vías = на всех типах дорог | 1 | 0 | 2 | 0 | 1.83 | 4.83
o los tiempos excesivos de conducción = или чрезмерное время за рулем | 1 | 0 | 2 | 0 | 1.83 | 4.83
postura en el asiento = положение на сиденье | 1 | 0 | 2 | 0 | 1.83 | 4.83
Sí, en todo tipo de vías = Да, на всех типах дорог | 1 | 0 | 2 | 0 | 1.83 | 4.83
tener en cuenta = иметь в виду | 1 | 0 | 2 | 0 | 1.83 | 4.83
un menor de edad = несовершеннолетний | 1 | 0 | 2 | 0 | 1.83 | 4.83
una curva cerrada = крутой поворот | 1 | 0 | 2 | 0 | 1.83 | 4.83
dicho carril = указанная (эта) полоса | 1 | 0 | 1 | 0 | 2.83 | 4.83
distancia suficiente = पर्याप्त расстояние / достаточное расстояние | 1 | 0 | 1 | 0 | 2.83 | 4.83
pueden realizar = могут совершить | 1 | 0 | 1 | 0 | 2.83 | 4.83
Segundo carril = вторая полоса | 1 | 0 | 1 | 0 | 2.83 | 4.83
puede perder = может потерять | 1 | 1 | 1 | 0 | 1.67 | 4.67
si fuera preciso = если потребуется | 2 | 0 | 2 | 0 | 0.67 | 4.67
antes de iniciar = перед началом | 1 | 0 | 2 | 0 | 1.67 | 4.67
consumo de combustible = расход топлива | 1 | 0 | 2 | 0 | 1.67 | 4.67
en el asiento delantero = на переднем сиденье | 1 | 0 | 2 | 0 | 1.67 | 4.67
Hasta que finalice la maniobra. = До тех пор, пока не завершится манёвр. | 1 | 0 | 2 | 0 | 1.67 | 4.67
límites de carga permitidos = допустимая загрузка | 1 | 0 | 2 | 0 | 1.67 | 4.67
carril adicional = дополнительная полоса | 1 | 0 | 1 | 0 | 2.67 | 4.67
carril habilitado = разрешённая/открытая полоса | 1 | 0 | 1 | 0 | 2.67 | 4.67
carril reversible = реверсивная полоса | 1 | 0 | 1 | 0 | 2.67 | 4.67
Cuarto carril = четвёртая полоса | 1 | 0 | 1 | 0 | 2.67 | 4.67
dejar encendido = оставить включённым | 1 | 0 | 1 | 0 | 2.67 | 4.67
Dirección juzgados = направление суда | 1 | 0 | 1 | 0 | 2.67 | 4.67
dispositivo análogo = аналогичное устройство | 1 | 0 | 1 | 0 | 2.67 | 4.67
Tercer carril = третья полоса | 1 | 0 | 1 | 0 | 2.67 | 4.67
estado de alerta = состояние бодрствования, готовности к реакции | 2 | 0 | 2 | 0 | 0.5 | 4.5
advertir a los demás conductores = предупредить других водителей | 1 | 0 | 2 | 0 | 1.5 | 4.5
en el tiempo más breve posible = в максимально короткий срок | 1 | 0 | 2 | 0 | 1.5 | 4.5
extremar la precaución = Предельно усилить осторожность | 1 | 0 | 2 | 0 | 1.5 | 4.5
influir en la eficacia = влияние на эффективность | 1 | 0 | 2 | 0 | 1.5 | 4.5
la mayor parte = большая часть | 1 | 0 | 2 | 0 | 1.5 | 4.5
la mayor parte de = большая часть, большинство | 1 | 0 | 2 | 0 | 1.5 | 4.5
luz de cruce = ближний свет | 1 | 0 | 2 | 0 | 1.5 | 4.5
por el propio autobús = из-за самого автобуса | 1 | 0 | 2 | 0 | 1.5 | 4.5
pérdida de adherencia = потеря сцепления | 1 | 0 | 2 | 0 | 1.5 | 4.5
Seguir la marcha = продолжить движение | 1 | 0 | 2 | 0 | 1.5 | 4.5
sobresalir por la parte posterior = выступать сзади | 1 | 0 | 2 | 0 | 1.5 | 4.5
zona de emergencia = аварийная площадка | 1 | 0 | 2 | 0 | 1.5 | 4.5
línea amarilla continua = запрещены остановка и стоянка | 2 | 0 | 2 | 0 | 0.33 | 4.33
línea amarilla discontinua = запрещена только стоянка | 2 | 0 | 2 | 0 | 0.33 | 4.33
a 4,25 km hay un peligro = через 4,25 км опасность | 1 | 0 | 2 | 0 | 1.33 | 4.33
adoptar una trayectoria = занять траекторию движения | 1 | 0 | 2 | 0 | 1.33 | 4.33
estar oculto por el autobús = быть скрытым автобусом | 1 | 0 | 2 | 0 | 1.33 | 4.33
falta de experiencia al volante = недостаток опыта вождения | 1 | 0 | 2 | 0 | 1.33 | 4.33
hacer una reparación = проводить ремонт | 1 | 0 | 2 | 0 | 1.33 | 4.33
Iniciamos la marcha = начинаем движение | 1 | 0 | 2 | 0 | 1.33 | 4.33
La siguiente salida = следующий съезд | 1 | 0 | 2 | 0 | 1.33 | 4.33
paso a nivel = железнодорожный переезд | 1 | 0 | 2 | 0 | 1.33 | 4.33
por el camino más corto = по кратчайшему пути | 1 | 0 | 2 | 0 | 1.33 | 4.33
reventar una rueda = лопнуть шине | 1 | 0 | 2 | 0 | 1.33 | 4.33
trastornos de sueño = нарушения сна | 1 | 0 | 2 | 0 | 1.33 | 4.33
Triángulo de emergencia = аварийный треугольник | 1 | 0 | 2 | 0 | 1.33 | 4.33
y en ningún caso = и ни в коем случае | 1 | 0 | 2 | 0 | 1.33 | 4.33
Distancia lateral = боковая дистанция | 1 | 0 | 1 | 0 | 2.33 | 4.33
es más irritable y más ansioso al volante = он более раздражителен и более тревожен за рулем | 1 | 0 | 1 | 0 | 2.33 | 4.33
los reposacabezas = подголовники | 1 | 0 | 1 | 0 | 2.33 | 4.33
prestar especial atención = обратите особое внимание | 1 | 0 | 1 | 0 | 2.33 | 4.33
sin colisionar con él = не столкнувшись с ним | 2 | 0 | 2 | 0 | 0.17 | 4.17
en sentido contrario al habitual = в направлении, противоположном обычному | 1 | 0 | 2 | 0 | 1.17 | 4.17
en su mismo sentido = в том же направлении | 1 | 0 | 2 | 0 | 1.17 | 4.17
extremando la precaución = проявляя крайнюю осторожность | 1 | 0 | 2 | 0 | 1.17 | 4.17
luz amarilla fija = постоянный жёлтый огонь | 1 | 0 | 2 | 0 | 1.17 | 4.17
no puede alcanzar = не может достичь | 1 | 0 | 2 | 0 | 1.17 | 4.17
ramal de salida = съезд, ответвление выезда | 1 | 0 | 2 | 0 | 1.17 | 4.17
sobresalir por detrás = выступать сзади | 1 | 0 | 2 | 0 | 1.17 | 4.17
sí, con precaución = да, с осторожностью | 1 | 0 | 2 | 0 | 1.17 | 4.17
causa justificada = обоснованная причина | 1 | 0 | 1 | 0 | 2.17 | 4.17
congestión del tráfico = пробки на дорогах | 1 | 0 | 1 | 0 | 2.17 | 4.17
puede rebasarle? = Сможет ли он его обогнать? | 1 | 1 | 1 | 0 | 1 | 4
Qué sucede = Что происходит | 1 | 1 | 1 | 0 | 1 | 4
por lo menos = к минимум | 2 | 0 | 2 | 0 | 0 | 4
antes de pasar = перед тем, как пройти | 1 | 0 | 2 | 0 | 1 | 4
de distinto tipo = разного типа | 1 | 0 | 2 | 0 | 1 | 4
de qué depende = от чего это зависит? | 1 | 0 | 2 | 0 | 1 | 4
en este tramo de obras = на этом участке дорожных работ | 1 | 0 | 2 | 0 | 1 | 4
en sentido contrario = в противоположном направлении | 1 | 0 | 2 | 0 | 1 | 4
En un paso estrecho = На узком проезде | 1 | 0 | 2 | 0 | 1 | 4
fuera del túnel = вне тоннеля | 1 | 0 | 2 | 0 | 1 | 4
otros usuarios pueden utilizarlo = другие тоже могут использовать | 1 | 0 | 2 | 0 | 1 | 4
requieren una mayor supervisión = они требуют повышенного надзора | 1 | 0 | 2 | 0 | 1 | 4
Rodeamos por la glorieta = едем по кругу | 1 | 0 | 2 | 0 | 1 | 4
sin dejar entre ellos un espacio libre = не оставляя между ними никакого свободного пространства | 1 | 0 | 2 | 0 | 1 | 4
Tomamos la primera salida = первый съезд | 1 | 0 | 2 | 0 | 1 | 4
¿en qué época del año? = в какое время года? | 1 | 0 | 2 | 0 | 1 | 4
lo antes posible = как можно скорее | 2 | 0 | 1 | 0 | 1 | 4
sentido contrario = встречное направление | 2 | 0 | 1 | 0 | 1 | 4
asiento trasero = заднее сиденье | 1 | 0 | 1 | 0 | 2 | 4
camión parado = стоящий грузовик | 1 | 0 | 1 | 0 | 2 | 4
capacidad física = физическая способность | 1 | 0 | 1 | 0 | 2 | 4
circulación dificultada = затруднённое движение | 1 | 0 | 1 | 0 | 2 | 4
Circulación giratoria = круговое движение | 1 | 0 | 1 | 0 | 2 | 4
corto alcance = ближний радиус действия | 1 | 0 | 1 | 0 | 2 | 4
no, porque no es = нет, потому что это не (является) | 1 | 0 | 1 | 0 | 2 | 4
porque todavía = потому что все еще | 1 | 0 | 1 | 0 | 2 | 4
saturación del tráfico = загруженность дорожного движения | 1 | 0 | 1 | 0 | 2 | 4
tráfico denso = плотное движение | 1 | 0 | 1 | 0 | 2 | 4
advertir con el brazo = подавать сигнал рукой | 1 | 0 | 2 | 0 | 0.83 | 3.83
colocar la placa "L" = расположить табличку "L" | 1 | 0 | 2 | 0 | 0.83 | 3.83
con antelación suficiente = заблаговременно, с достаточным запасом времени | 1 | 0 | 2 | 0 | 0.83 | 3.83
Cuando lo sea posible = когда возможно | 1 | 0 | 2 | 0 | 0.83 | 3.83
darse cuenta de = замечать, осознавать | 1 | 0 | 2 | 0 | 0.83 | 3.83
en la medida de lo posible = насколько это возможно | 1 | 0 | 2 | 0 | 0.83 | 3.83
en un túnel = в тоннеле | 1 | 0 | 2 | 0 | 0.83 | 3.83
entre la puesta y la salida de sol = между закатом и восходом солнца | 1 | 0 | 2 | 0 | 0.83 | 3.83
hay una salida obligatoria = есть обязательный съезд | 1 | 0 | 2 | 0 | 0.83 | 3.83
la puesta y la salida del sol = закат и восход солнца | 1 | 0 | 2 | 0 | 0.83 | 3.83
no causar peligros o entorpecer o molestar a otros usuarios = Не создавать опасности или задерживать либо мешать другим пользователям | 1 | 0 | 2 | 0 | 0.83 | 3.83
no sea posible instalar = невозможно установить | 1 | 0 | 2 | 0 | 0.83 | 3.83
Nos preparamos para la salida = готовимся к съезду | 1 | 0 | 2 | 0 | 0.83 | 3.83
pueden sustituirse por = могут быть заменены на | 1 | 0 | 2 | 0 | 0.83 | 3.83
sentido de circulation = направление движения | 1 | 0 | 2 | 0 | 0.83 | 3.83
Sólo de forma excepcional = Только в исключительных обстоятельствах | 1 | 0 | 2 | 0 | 0.83 | 3.83
una situación excesivamente compleja = чрезмерно сложная ситуация | 1 | 0 | 2 | 0 | 0.83 | 3.83
afectar al funcionamiento = влиять на работу | 1 | 0 | 1 | 0 | 1.83 | 3.83
Cambiar el sentido = развернуться | 1 | 0 | 1 | 0 | 1.83 | 3.83
Conducción libre = свободное вождение | 1 | 0 | 1 | 0 | 1.83 | 3.83
espacio especialmente reservado = специально выделенное место | 1 | 0 | 1 | 0 | 1.83 | 3.83
Ante la línea de detención más cercana. = Перед ближайшей линией остановки. | 1 | 0 | 2 | 0 | 0.67 | 3.67
ante la línea transversal = перед линией пересечения | 1 | 0 | 2 | 0 | 0.67 | 3.67
flecha de retorno = стрела возврата | 1 | 0 | 2 | 0 | 0.67 | 3.67
flecha verde hacia abajo = зелёная стрелка вниз | 1 | 0 | 2 | 0 | 0.67 | 3.67
fotocopia esté debidamente cotejada = заверена должным образом | 1 | 0 | 2 | 0 | 0.67 | 3.67
incurrir en la omisión de socorro = совершить неоказание помощи | 1 | 0 | 2 | 0 | 0.67 | 3.67
La flecha verde = зеленая стрелка | 1 | 0 | 2 | 0 | 0.67 | 3.67
la línea transversal = поперечная линия | 1 | 0 | 2 | 0 | 0.67 | 3.67
marca transversal continua = сплошная поперечная линия | 1 | 0 | 2 | 0 | 0.67 | 3.67
Por un comportamiento exhibicionista = Из-за эксгибиционистского поведения | 1 | 0 | 2 | 0 | 0.67 | 3.67
responsable de las infracciones = ответственность за нарушения | 1 | 0 | 2 | 0 | 0.67 | 3.67
sopla el viento lateral = дует боковой ветер | 1 | 0 | 2 | 0 | 0.67 | 3.67
carga divisible = делимый груз | 1 | 0 | 1 | 0 | 1.67 | 3.67
carga excesiva = перегрузка / чрезмерная загрузка | 1 | 0 | 1 | 0 | 1.67 | 3.67
carga indivisible = неделимый груз | 1 | 0 | 1 | 0 | 1.67 | 3.67
hacer uso de = пользоваться, использовать | 1 | 0 | 1 | 0 | 1.67 | 3.67
invadir el sentido contrario = выехать на встречное направление движения | 1 | 0 | 1 | 0 | 1.67 | 3.67
a la derecha = направо | 1 | 0 | 2 | 0 | 0.5 | 3.5
alcanzar una estatura de = достигать определённого роста | 1 | 0 | 2 | 0 | 0.5 | 3.5
atravesar la línea continua = пересечь сплошную линию | 1 | 0 | 2 | 0 | 0.5 | 3.5
aunque la línea sea continua = даже если линия сплошная | 1 | 0 | 2 | 0 | 0.5 | 3.5
Ceñirse a la derecha = держаться правее | 1 | 0 | 2 | 0 | 0.5 | 3.5
Comenzamos la prueba = начинаем экзамен | 1 | 0 | 2 | 0 | 0.5 | 3.5
Dar la vuelta = развернуться | 1 | 0 | 2 | 0 | 0.5 | 3.5
el estado de las pastillas = состояние тормозных колодок | 1 | 0 | 2 | 0 | 0.5 | 3.5
franquear una línea = пересекать линию | 1 | 0 | 2 | 0 | 0.5 | 3.5
fuera de poblado = вне населённого пункта | 1 | 0 | 2 | 0 | 0.5 | 3.5
grupo de edad = возрастная группа | 1 | 0 | 2 | 0 | 0.5 | 3.5
línea real o imaginaria = реальная или воображаемая линия | 1 | 0 | 2 | 0 | 0.5 | 3.5
Omisión de socorro = не оказал помощь | 1 | 0 | 2 | 0 | 0.5 | 3.5
Pegarse a la derecha = держаться правее | 1 | 0 | 2 | 0 | 0.5 | 3.5
persona con discapacidad = человек с инвалидностью | 1 | 0 | 2 | 0 | 0.5 | 3.5
por la derecha = по правой стороне | 1 | 0 | 2 | 0 | 0.5 | 3.5
Primera a la derecha = первый поворот направо | 1 | 0 | 2 | 0 | 0.5 | 3.5
pérdida de puntos = потеря баллов | 1 | 0 | 2 | 0 | 0.5 | 3.5
tarde en aparecer = появляться позднее | 1 | 0 | 2 | 0 | 0.5 | 3.5
tiene una antigüedad de un año y medio = Имеет стаж полтора года | 1 | 0 | 2 | 0 | 0.5 | 3.5
